,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPD/cap,ВВП на душу населения,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vat,аналог ндс,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Update,07.05.2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Country,New Zealand 🇳🇿,,,Australia 🇦🇺,,,,,Canada 🇨🇦,,,USA 🇺🇸,,,,,,United Kingdom 🇬🇧,,,,Netherlands 🇳🇱,,Norway 🇳🇴,Serbia 🇷🇸,Poland 🇵🇱,,,,Russia 🇷🇺,Belarus,Country
,"Population, kk","5,3",,,"27,2",,,,,"40,5",,,"348,8",,,,,,"69,9",,,,"18,5",,"5,6","6,6","38,9",,,,"143,1","8,9","Population, kk"
,"Land Area, km^2","263,3",,,"7682,3",,,,,"9093,5",,,"9147,4",,,,,,"241,9",,,,328,,"365,2","87,4","306,2",,,,"16376,8","202,9","Land Area, km^2"
,"GPD/cap, $","52,023",,,"75,648",,,,,"60,305",,,"94,43",,,,,,"61,056",,,,"79,918",,"105,877","17,252","31,336",,,,"18,525","11,286","GPD/cap, $"
,"min salary / h, usd","14,32",,,"18,11",,,,,"17,6",,,"17,3",,,,,,"17,3",,,,"17,31",,"18,9","3,72","8,71",,,,"2,09","1,61","min salary / h, usd"
,"salary tax, %",30,,,"32,5",,,,,"29,65",,,22,,,,,,45,,,,"49,5",,"13,7","35,5",32,,,,18,13,"salary tax, %"
,"VAT, %",15,,,10,,,,,12,,,10,,,,,,20,,,,21,,25,20,23,,,,22,20,"VAT, %"
,Language,No,,,No,,,,,No,,,No,,,,,,No,,,,Yes,,Yes,Yes,Yes,,,,No,No,Language
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Category,New Zealand 🇳🇿,,,Australia 🇦🇺,,,,,Canada 🇨🇦,,,USA 🇺🇸,,,,,,United Kingdom 🇬🇧,,,,Netherlands 🇳🇱,,Norway 🇳🇴,Serbia 🇷🇸,Poland 🇵🇱,,,,Russia 🇷🇺,Belarus,Category
,Key IT Visa,Straight to Residence,,,Skilled Independent,,,,,Express Entry (STEM),,,L-1 / H-1B,,,,,,Skilled Worker,,,,HSM (Highly Skilled),,Skilled Worker,Talent/Work Permit,Blue Card / B2B,,,,Work Permit,Na,Key IT Visa
,BY Passport Difficulty,2,,,4,,,,,3,,,5,,,,,,3,,,,2,,3,1,1,,,,0,,BY Passport Difficulty
,PR (Years) Fast Track,0,,,1,,,,,0,,,2,,,,,,5,,,,5,,3,3,5,,,,0,,PR (Years) Fast Track
,PR (Years) General Path,2,,,5,,,,,3,,,10,,,,,,8,,,,7,,7,5,8,,,,2,,PR (Years) General Path
,Citizenship (Years) Fast,5,,,4,,,,,3,,,5,,,,,,6,,,,5,,7,3,5,,,,5,,Citizenship (Years) Fast
,Citizenship (Years) Real,6,,,7,,,,,5,,,15,,,,,,8,,,,7,,10,5,10,,,,6,,Citizenship (Years) Real
